"";"F1"
"507";-0,424860903018644
"508";-0,540600405971244
"509";0,512196927682521
"510";-0,99860643132712
"511";0,953244561213751
"512";-0,620891982556706
"513";0,0512302000752326
"514";-0,797969550666272
"515";0,366995881126018
"516";-0,220257140161141
"517";1,45413152100657
"518";0,764234905506173
"519";-1,15556012093078
"520";0,261668510049638
"521";-0,763812067359221
"522";-0,0670784305172167
"523";-0,572076933861968
"524";0,696012168119439
"525";1,38985306496072
"526";1,35982038641453
"527";1,72193033568128
"528";-1,31179597863599
"529";0,185422448660173
"530";-0,513900736358001
"531";-1,02543863230441
"532";0,589833499609304
"533";-0,17305720265999
"534";1,35982038641453
"535";0,0278489149470815
"536";0,749450048291211
"537";1,42154687986291
"538";0,527287624789895
"539";-1,31179597863599
"540";-1,78533952123265
"541";0,371235564995643
"542";-0,725990215248175
"543";0,232213553444891
"544";-0,255241949258004
"545";0,399524182630422
"546";-0,689110483527783
"547";0,73588055193983
"548";-0,292765522994997
"549";0,753542210331158
"550";0,728606521323816
"551";-1,59336852321966
"552";-0,562600822915421
"553";-0,815265089334817
"554";1,44682084881989
"555";-0,0513286385291212
"556";-0,169618405411993
"557";0,316618450904129
"558";0,796884399225971
"559";-0,565339945318461
"560";-0,00491386088152762
"561";0,0285538650145033
"562";0,522467536380537
"563";-0,794364981511548
"564";-0,710589380737812
"565";0,874143379475198
"566";-0,702623421489183
"567";2,05203950420423
"568";0,599088878320803
"569";-0,10006440784983
"570";-0,540747193383615
"571";0,387406207994517
"572";-0,335383971331814
"573";-0,849613424056542
"574";-1,15726947267036
"575";1,14528926923923
"576";-0,332380210755508
"577";0,442605543774248
"578";0,216680925088195
"579";-0,026845984633618
"580";-0,961255449089108
"581";0,883110507304601
"582";-0,243049740476723
"583";-0,989469352533141
"584";0,310832925508377
"585";-0,829649571649129
"586";0,00351247517651111
"587";-0,854215862102972
"588";0,769279477290958
"589";0,845468339250036
"590";0,378500962138693
"591";0,596900686300738
"592";1,72193033568128
"593";-1,54246513216047
"594";-0,482261117437117
"595";-0,551865836248793
"596";-0,508806683522984
"597";-0,100558920359176
"598";-0,301599935929373
"599";0,236377381013128
"600";-0,292101947444933
"601";-0,656190793583553
"602";-0,85988419542971
"603";-1,4321385578195
"604";0,60175458825535
"605";1,15149801143021
"606";-0,10053239254672
"607";-1,51026091820454
"608";-1,44208488307402
"609";-1,31179597863599
"610";0,272995263319249
"611";-0,143586204020478
"612";0,052282897792145
"613";1,39876907661497
"614";-0,671767108806555
"615";0,435894123510974
"616";2,05203950420423
"617";-0,0892564868298262
"618";1,72193033568128
"619";-0,653811663430259
"620";-0,141197301694646
"621";-0,294323036781015
"622";1,72193033568128
"623";-1,06631997018169
"624";0,132745055745488
"625";0,0310460125979414
"626";0,309758949057303
"627";1,15786122314238
"628";0,0690692612758461
"629";-1,0407832018814
"630";-0,691949081932254
"631";0,564812893492273
"632";1,46830994154841
"633";-0,380940523327627
"634";0,468249585810232
"635";0,631319526117425
"636";0,341656067075318
"637";-0,219903663974017
"638";0,796884399225971
"639";-0,794364981511548
"640";-0,254888179802633
"641";0,796884399225971
"642";-0,147078135174583
"643";-0,568003602834065
"644";0,313769758422058
"645";2,05203950420423
"646";-0,592524807240206
"647";1,44682084881989
"648";0,600009054897941
"649";0,978978775580138
"650";-0,898404748850948
"651";-0,922919043166918
"652";-0,538896746748357
"653";0,45879359847983
"654";-0,817422232912187
"655";1,1497233412083
"656";0,681729810272124
"657";-0,348556534919327
"658";0,104919274391608
"659";0,72878688977971
"660";0,796884399225971
"661";1,44682084881989
"662";-0,397844993624776
"663";-1,13165296144955
"664";0,0565812484369984
"665";-1,71138948726383
"666";0,863962315102651
"667";0,356053442934109
"668";0,693665379229813
"669";-0,887211244522338
"670";-0,581210862143669
"671";1,15786122314238
"672";-0,215102034836496
"673";-0,198834418558943
"674";-1,27555550879755
"675";-1,22274651374192
"676";0,493938400758255
"677";1,54686794239982
"678";-0,568003602834065
"679";-1,31179597863599
"680";2,05203950420423
"681";0,352901673582713
"682";0,0573150850132244
"683";-0,0123093611206524
"684";-0,0412589634378123
